colorway,bottomview,lateralfrontright,brand_name,angledfront,shoe_name,angledheel
"blk, yllw strk-mtllc gld-ntrl g",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600387452-nike-air-presto-flyknit-ultra-blk-yllw-strk-mtllc-gld-ntrl-g-052998_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600387452-nike-air-presto-flyknit-ultra-blk-yllw-strk-mtllc-gld-ntrl-g-052998_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600387452-nike-air-presto-flyknit-ultra-blk-yllw-strk-mtllc-gld-ntrl-g-052998_3.jpg,air presto flyknit ultra,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600387452-nike-air-presto-flyknit-ultra-blk-yllw-strk-mtllc-gld-ntrl-g-052998_4.jpg
"cool grey, team red-wolf grey",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600387451-nike-kobe-11-aces-cool-grey-team-red-wolf-grey-042597_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600387451-nike-kobe-11-aces-cool-grey-team-red-wolf-grey-042597_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600387451-nike-kobe-11-aces-cool-grey-team-red-wolf-grey-042597_3.jpg,"kobe 11 ""aces""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600387451-nike-kobe-11-aces-cool-grey-team-red-wolf-grey-042597_4.jpg
"white, white-laser crimson",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-air-tech-challenge-2-french-open-white-white-laser-crimson-090160_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-air-tech-challenge-2-french-open-white-white-laser-crimson-090160_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-air-tech-challenge-2-french-open-white-white-laser-crimson-090160_3.jpg,"air tech challenge 2 ""french open""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-air-tech-challenge-2-french-open-white-white-laser-crimson-090160_4.jpg
"white, white-pure platinum",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600985043-nike-air-max-zero-qs-be-true-white-white-pure-platinum-053003_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600985043-nike-air-max-zero-qs-be-true-white-white-pure-platinum-053003_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600985043-nike-air-max-zero-qs-be-true-white-white-pure-platinum-053003_3.jpg,"air max zero qs ""be true""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600985043-nike-air-max-zero-qs-be-true-white-white-pure-platinum-053003_4.jpg
"bright crimson, black-white",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-kobe-9-elite-christmas-bright-crimson-black-white-042335_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-kobe-9-elite-christmas-bright-crimson-black-white-042335_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-kobe-9-elite-christmas-bright-crimson-black-white-042335_3.jpg,"kobe 9 elite ""christmas""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-kobe-9-elite-christmas-bright-crimson-black-white-042335_4.jpg
midnight navy mid navy-mid nvy,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-nike-air-huarache-midnight-navy-mid-navy-mid-nvy-052798_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-nike-air-huarache-midnight-navy-mid-navy-mid-nvy-052798_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-nike-air-huarache-midnight-navy-mid-navy-mid-nvy-052798_3.jpg,air huarache,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-nike-air-huarache-midnight-navy-mid-navy-mid-nvy-052798_4.jpg
"sport red, sport red",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743050-nike-air-max-90-hyp-qs-usa-sport-red-sport-red-051987_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743050-nike-air-max-90-hyp-qs-usa-sport-red-sport-red-051987_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743050-nike-air-max-90-hyp-qs-usa-sport-red-sport-red-051987_3.jpg,"air max 90 hyp qs ""usa""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743050-nike-air-max-90-hyp-qs-usa-sport-red-sport-red-051987_4.jpg
"unvrsty rd, unvrsty rd-mtllc gl",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/0/8/081054_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/0/8/081054_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/0/8/081054_3.jpg,"dunk hi premium sb ""cny""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/0/8/081054_4.jpg
"unvrsty rd, unvrsty rd-unvrsty",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743040-nike-huarache-run-gs-triple-red-unvrsty-rd-unvrsty-rd-unvrsty-053007_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743040-nike-huarache-run-gs-triple-red-unvrsty-rd-unvrsty-rd-unvrsty-053007_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743041-nike-huarache-run-gs-triple-red-unvrsty-rd-unvrsty-rd-unvrsty-053007_3.jpg,"huarache run (gs) ""triple red""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743041-nike-huarache-run-gs-triple-red-unvrsty-rd-unvrsty-rd-unvrsty-053007_4.jpg
"white, metallic gold-black",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743053-nike-lebron-13-elite-white-metallic-gold-black-042612_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743053-nike-lebron-13-elite-white-metallic-gold-black-042612_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743053-nike-lebron-13-elite-white-metallic-gold-black-042612_3.jpg,lebron 13 elite,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63611743053-nike-lebron-13-elite-white-metallic-gold-black-042612_4.jpg
